MatrixID,SpeciesAccepted,Authors,YearPublication
238446,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238447,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238448,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238449,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238450,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238451,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238452,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238453,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238454,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238455,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238456,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238457,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238458,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238459,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238460,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238461,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238462,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238463,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238464,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238465,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238466,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238467,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238468,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238469,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238470,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238471,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238472,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238473,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238474,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238475,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238476,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238477,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238478,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238479,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238480,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238481,Cyrtandra dentata,Bialic-Murphy; Gaoue; Kawelo,2017
238482,Cystoseira zosteroides,Capdevila; Hereu; Riera; Linares,2016
238483,Cystoseira zosteroides,Capdevila; Hereu; Riera; Linares,2016
238484,Cystoseira zosteroides,Capdevila; Hereu; Riera; Linares,2016
238485,Cystoseira zosteroides,Capdevila; Hereu; Riera; Linares,2016
238486,Cystoseira zosteroides,Capdevila; Hereu; Riera; Linares,2016
238487,Cystoseira zosteroides,Capdevila; Hereu; Riera; Linares,2016
238488,Cystoseira zosteroides,Capdevila; Hereu; Riera; Linares,2016
238489,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238490,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238491,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238492,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238493,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238494,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238495,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238496,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
